region,annotation,x,y,cell_name,SampleSize,KCNQ3_GSS
Cortex,GABA Neu,4942.89432066611,9058.15023803021,Cell_1,1002081,0.0
CAA,GN DG,4779.16115350125,9803.77175728121,Cell_1000,1002081,1.7265625
SL/R CA1,Unknown,4031.76501885006,11687.7067396807,Cell_10000,1002081,0.0
SL/R CA1,Astr,4225.86681847806,11777.8260571502,Cell_10001,1002081,0.0
CA1,Glu Neu,5464.78713528493,12346.0209608612,Cell_10002,1002081,0.0
CA1,Glu Neu,5724.67611554713,12463.0112080542,Cell_10003,1002081,0.0
CA1,GABA Neu,5774.81968006888,12490.4087067913,Cell_10004,1002081,0.0
CA1,Astr,6120.22666494533,12648.8196117145,Cell_10005,1002081,0.0
Cortex,Astr,6968.78380433925,13039.085906933,Cell_10006,1002081,0.0
DG,Astr,1990.30316922509,10753.6497197264,Cell_10008,1002081,0.0
DG,Glu Neu,2563.78533312512,11014.4603937575,Cell_10009,1002081,0.0
Cortex,Astr,5779.89169381495,10274.8294880143,Cell_1001,1002081,0.0
SL/R CA1,Glu Neu,3832.5855454481,11606.2602089055,Cell_10011,1002081,1.82421875
Cortex,SM,6240.47342840928,12711.6683656913,Cell_10012,1002081,0.0
Cortex,Ery,7052.9759724014,13080.9986596104,Cell_10013,1002081,0.0
Cortex,Glu Neu,7117.66298891795,13115.0660911864,Cell_10014,1002081,2.072265625
Ependymal,Epe,1693.71391231828,10623.1284084878,Cell_10015,1002081,0.0
Ependymal,Epe,2289.23692664496,10900.6483886824,Cell_10016,1002081,0.0
DG,Glu Neu,2532.53885097856,11003.4305545264,Cell_10017,1002081,0.0
SL/R CA1,Astr,2711.75555195415,11090.0237072085,Cell_10018,1002081,0.0
SL/R CA1,Astr,3624.28194048292,11506.3271905456,Cell_10019,1002081,0.0
Meni,Meninge,3169.75893155111,9076.66757768797,Cell_1002,1002081,0.0
SL/R CA1,Astr,4308.39150333049,11823.3746728263,Cell_10020,1002081,0.0
CA1,Glu Neu,5181.71639040008,12231.6008866157,Cell_10021,1002081,1.9189453125
FT,Olig,5905.86119631169,12554.9077069447,Cell_10022,1002081,1.7587890625
Cortex,Glu Neu,6314.51652493537,12744.5259349384,Cell_10023,1002081,1.9853515625
DG,Astr,1836.23033664925,10696.1904971241,Cell_10024,1002081,0.0
DG,GABA Neu,2074.07846648481,10796.4714381535,Cell_10025,1002081,0.0
DG,Glu Neu,2193.22820383704,10853.3163155735,Cell_10026,1002081,0.0
SL/R CA1,Astr,4145.76185828351,11750.9896014932,Cell_10027,1002081,0.0
CA1,Glu Neu,5420.96558093255,12333.6245349996,Cell_10028,1002081,0.0
Cortex,Mic,6651.51400762437,12905.6809741438,Cell_10029,1002081,0.0
CAA,Glu Neu,3563.26587701552,9254.93783283804,Cell_1003,1002081,2.025390625
Cortex,Astr,6942.64947003313,13033.7010605679,Cell_10030,1002081,0.0
Cortex,Glu Neu,7435.65055301453,13256.5012674331,Cell_10031,1002081,1.7666015625
DG,Mic,1650.87654786039,10613.3836557304,Cell_10034,1002081,0.0
SL/R CA1,Astr,3521.03596574406,11469.9779305776,Cell_10035,1002081,0.0
SL/R CA1,Glu Neu,4664.09800803264,11995.3103657832,Cell_10036,1002081,0.0
CA1,Glu Neu,5930.97059064498,12569.7238574642,Cell_10037,1002081,1.7265625
DG,Unknown,1970.68204345632,10755.6525735819,Cell_10038,1002081,0.0
DG,Mic,2105.55062106582,10814.20568429,Cell_10039,1002081,0.0
CAA,Glu Neu,3640.6031898827,9292.6066533463,Cell_1004,1002081,1.8369140625
DG,GABA Neu,2357.2181595026,10939.5270715196,Cell_10040,1002081,0.0
DG,GABA Neu,2483.14752790498,10998.381078807,Cell_10041,1002081,0.0
DG,Glu Neu,2637.71245542805,11057.1661379614,Cell_10042,1002081,0.0
SL/R CA1,Astr,3467.40698651324,11445.3825532343,Cell_10043,1002081,0.0
SL/R CA1,Astr,4788.28466908049,12055.5654337675,Cell_10045,1002081,0.0
CA1,Glu Neu,5221.90208175375,12242.3298292676,Cell_10047,1002081,0.0
CA1,Glu Neu,5344.83813039431,12305.3117945009,Cell_10048,1002081,0.0
CA1,Glu Neu,5610.74822424662,12428.3639053623,Cell_10049,1002081,0.0
Cortex,Glu Neu,5860.86486968083,10314.1657917323,Cell_1005,1002081,1.7705078125
CA1,Astr,5864.50011669555,12549.1404638436,Cell_10050,1002081,0.0
Cortex,Glu Neu,6632.69214939399,12891.5481169395,Cell_10051,1002081,2.302734375
Ependymal,Epe,7022.67293007098,13084.703470742,Cell_10052,1002081,0.0
DG,Astr,1892.26180350472,10732.3391447064,Cell_10053,1002081,0.0
DG,Glu Neu,1933.83131852208,10737.6519049326,Cell_10054,1002081,0.0
DG,Glu Neu,2208.98151816077,10869.3423284219,Cell_10055,1002081,1.7744140625
SL/R CA1,Astr,3105.71384228746,11281.7027761692,Cell_10056,1002081,0.0
SL/R CA1,Astr,3778.27327290206,11587.952367665,Cell_10057,1002081,0.0
SL/R CA1,Astr,4229.98850041213,11807.2201337309,Cell_10058,1002081,0.0
Ependymal,Epe,4502.71897539294,11920.1983972011,Cell_10059,1002081,0.0
Cortex,End,6195.7059122188,10464.4304789748,Cell_1006,1002081,0.0
CA1,Glu Neu,5325.48342713834,12301.9360780031,Cell_10060,1002081,0.0
Cortex,Unknown,6711.14686341206,12929.1793253754,Cell_10061,1002081,1.8076171875
DG,Glu Neu,2528.10372044148,11017.8987823763,Cell_10062,1002081,0.0
DG,Mic,2620.32613196107,11059.093767672,Cell_10063,1002081,0.0
SL/R CA1,Mic,2895.81797825737,11187.6404231098,Cell_10064,1002081,0.0
SL/R CA1,Astr,3322.69023394696,11386.713468303,Cell_10065,1002081,0.0
Cortex,Astr,6467.78695196688,12831.3212470099,Cell_10066,1002081,0.0
DG,Astr,1944.69815743983,10754.7373318203,Cell_10069,1002081,0.0
DG,Glu Neu,1993.70708377746,10775.0135528497,Cell_10070,1002081,0.0
DG,Glu Neu,2047.33606300828,10799.6089301931,Cell_10071,1002081,0.0
CA1,Glu Neu,5075.13858724773,12189.3229742357,Cell_10072,1002081,0.0
CA1,Glu Neu,5267.57604167195,12269.8777762944,Cell_10073,1002081,0.0
CA1,Glu Neu,5473.77805559175,12367.1967336225,Cell_10074,1002081,0.0
CA1,Glu Neu,5714.02867305195,12479.0309448907,Cell_10075,1002081,0.0
